variables= "energy", "enstrophy", "time"
19599.883058 15707.384378 0.000531
19459.322860 15704.107492 0.001061
19322.705261 15703.871255 0.001592
19188.855450 15702.012312 0.002122
19057.563492 15698.321480 0.002653
18928.909399 15692.791236 0.003183
18803.093821 15685.431633 0.003714
18680.375990 15676.260477 0.004245
18561.045186 15665.302038 0.004775
18445.405055 15652.586999 0.005306
18333.763510 15638.152797 0.005836
18226.426828 15622.044334 0.006367
18123.692738 15604.314509 0.006898
18025.841830 15585.024125 0.007428
17933.134120 15564.242363 0.007959
17845.804088 15542.046896 0.008490
17764.055989 15518.523841 0.009020
17688.059561 15493.767527 0.009551
17617.946181 15467.880040 0.010082
17553.805572 15440.970555 0.010612
17495.683190 15413.154515 0.011143
17443.578337 15384.552683 0.011674
17397.443114 15355.290073 0.012204
17357.194212 15325.504809 0.012735
17322.778433 15295.421612 0.013263
17293.965173 15265.188520 0.013790
17270.459727 15234.925037 0.014314
17251.942676 15204.747340 0.014837
17238.076398 15174.777412 0.015358
17228.510255 15145.181759 0.015876
17222.846852 15116.070969 0.016391
17220.679899 15087.538066 0.016904
17221.604167 15059.668273 0.017414
17225.220386 15032.539143 0.017921
17231.139742 15006.220914 0.018427
17238.988025 14980.776773 0.018929
17248.409447 14956.263177 0.019430
17259.069969 14932.730344 0.019928
17270.660095 14910.222678 0.020425
17282.896980 14888.779303 0.020919
17295.525935 14868.434649 0.021412
17308.321389 14849.218981 0.021903
17321.087328 14831.158815 0.022392
17333.657148 14814.277304 0.022880
17345.892893 14798.594647 0.023366
17357.683844 14784.128443 0.023851
17368.944498 14770.893161 0.024334
17379.611969 14758.900922 0.024817
17389.643167 14748.162688 0.025298
17399.011514 14738.688374 0.025778
17407.703353 14730.486451 0.026257
17415.714293 14723.563887 0.026735
17423.045600 14717.926054 0.027212
17429.700757 14713.576605 0.027688
17435.682267 14710.517332 0.028164
17440.988843 14708.747996 0.028639
17445.613020 14708.266162 0.029113
17449.539261 14709.067037 0.029587
17452.742585 14711.143303 0.030060
